lat,lng,sv,date
32.908183,-105.973251,True,2024-04
32.907783,-105.973037,False,
32.906735,-105.973723,True,2024-04
32.906333,-105.974570,False,
32.905521,-105.976280,False,
32.905128,-105.977122,False,
32.904714,-105.977973,False,
32.904318,-105.978818,False,
32.903495,-105.980566,False,
32.902770,-105.980552,False,
32.902046,-105.980539,False,
32.900041,-105.980505,False,
32.898409,-105.980478,False,
32.897515,-105.980458,True,2024-04
32.896624,-105.980446,True,2024-04
32.895845,-105.980434,True,2024-04
32.894085,-105.980403,True,2024-04
32.892267,-105.980371,True,2024-04
32.891814,-105.982478,True,2024-04
32.891768,-105.984595,True,2024-04
32.891677,-105.987772,True,2024-04
32.891622,-105.989891,True,2024-04
32.891568,-105.992013,True,2024-04
32.891526,-105.993730,True,2024-04
32.891520,-105.996893,False,
32.891501,-105.999013,False,
32.891493,-106.000975,False,
32.890616,-106.002326,False,
32.888884,-106.002841,False,
32.888139,-106.004081,False,
32.888141,-106.006117,False,
32.888134,-106.009177,False,
32.888132,-106.011219,False,
32.888131,-106.013256,False,
32.888124,-106.016312,False,
32.888122,-106.018350,False,
32.888115,-106.020390,False,
32.888115,-106.023447,False,
32.888114,-106.025494,False,
32.889869,-106.026535,False,
32.891628,-106.026554,False,
32.893387,-106.026567,False,
32.894264,-106.026578,False,
32.895156,-106.026577,False,
32.896025,-106.026592,False,
32.897782,-106.026607,False,
32.899541,-106.026624,False,
32.901300,-106.026637,False,
32.902184,-106.026649,False,
32.903060,-106.026655,False,
32.903943,-106.026661,False,
32.905697,-106.026675,False,
32.907453,-106.026694,False,
32.909216,-106.026705,False,
32.910095,-106.026716,False,
32.910972,-106.026723,False,
32.911853,-106.026730,False,
32.913638,-106.026739,False,
32.915356,-106.026769,False,
32.917133,-106.026748,False,
32.917131,-106.025744,False,
32.917112,-106.023610,False,
32.917124,-106.021453,False,
32.917136,-106.019348,False,
32.917145,-106.016138,False,
32.917172,-106.014027,False,
32.917168,-106.011892,False,
32.917195,-106.009765,False,
32.917207,-106.007604,False,
32.917218,-106.005470,False,
32.917241,-106.002273,False,
32.917238,-106.000208,False,
32.887239,-106.026535,False,
32.886368,-106.026556,False,
32.885456,-106.026520,False,
32.884546,-106.026522,False,
32.882804,-106.026509,False,
32.881047,-106.026477,False,
32.881051,-106.028461,False,
32.881042,-106.031458,False,
32.880196,-106.032428,False,
32.878487,-106.032415,False,
32.876794,-106.032384,False,
32.875944,-106.032386,False,
