id,name,lat,lng
J00,A-Takeoff #001,33.162719,-105.825447
J01,A-Takeoff #002,33.163457,-105.823709
J02,A-Takeoff #003,33.164757,-105.821724
J03,A-Takeoff #004,33.164213,-105.821556
J04,A-Takeoff #005,33.164963,-105.817166
J05,A-Takeoff #006,33.164323,-105.812429
J06,A-Takeoff #007,33.162468,-105.807172
J07,A-Takeoff #008,33.162034,-105.803729
J08,A-Takeoff #009,33.161765,-105.802348
J09,A-Takeoff #010,33.161356,-105.800535
J10,A-Takeoff #011,33.159433,-105.797094
J11,A-Takeoff #012,33.157752,-105.793881
J12,A-Takeoff #013,33.156303,-105.791186
J13,A-Takeoff #014,33.155978,-105.787285
J14,A-Takeoff #015,33.15554,-105.782003
J15,A-Takeoff #016,33.155267,-105.778706
J16,A-Takeoff #017,33.155254,-105.776341
J17,A-Takeoff #018,33.158845,-105.769943
J18,A-Takeoff #019,33.152605,-105.764174
J19,A-Takeoff #020,33.152027,-105.761092
J20,A-Takeoff #021,33.146231,-105.749004
J21,A-Takeoff #022,33.123662,-105.732106
J22,A-Takeoff #023,33.119723,-105.728259
J23,A-Takeoff #024,33.104782,-105.718662
J24,A-Takeoff #025,33.081413,-105.714132
J25,A-Takeoff #026,33.09429,-105.714085
J26,A-Takeoff #027,33.079494,-105.713933
J27,A-Takeoff #028,33.060705,-105.710794
